,NO.,ORDER DATE,DIRECTOR,SITE,STATUS,MAIN DES,COMTOR,DUR(h),TRANS DUR(h),DELIVER BEFORE(h),CONFIRM TIME (h),DEADLINE,WORK DATE,DESIGN IMPORTANT,START WORK,END WORK,FIX DUR,"BREAK/
CONFIRM","WORK
DURATION",LAG,DES NOTES,DES1,DUR1,DES2,DUR2,DES3,DUR3,DES4,DUR4,
1,v1603-0065,3/2/2016,Yoshioka,lacaliffa.jp/,mail:done,TruyenLC,ManDH,2,0,13:30,,03/03/2016,03/03/2016,,8:30,10:30,,,2,0,,TruyenLC,2,,,,,,,1
1,v1603-0066,3/2/2016,Ishihara,alice-yagi.com/,mail:done,TrucTTT,ManDH,1.5,0.5,,,03/03/2016,03/03/2016,,8:30,10:00,,,1.5,0,,TrucTTT,1.5,,,,,,,1
1,v1603-0067,3/2/2016,Takeuchi,uchiyamakaikei.jp/,mail:done,TrucTTT,ManDH,2.5,0,,,03/03/2016,02/03/2016,,13:00,15:30,,,2.5,0,,TrucTTT,2.5,,,,,,,1
1,v1603-0068,3/2/2016,Suzuki,ohashi-inc.com/,mail:done,BinhNT,ManDH,6,1,,,03/03/2016,03/03/2016,,10:30,17:30,,1:00,6,0,68 69 l? 1 oreder,BinhNT,6,,,,,,,1
1,v1603-0070,3/2/2016,Ariyoshi,tdhome.biz/,mail:done,LinhKT,ManDH,3.5,1,,,03/03/2016,03/03/2016,,14:30,17:30,,,3,-0.5,http://service.fvn-office.net/fvn/LinhKT/v1603-0070_tdhome.biz/160303_02_bk/fmail/,LinhKT,3.5,,,,,,,1
1,v1603-0071,3/2/2016,Ariyoshi,fc.jc-sys.co.jp/,mail:done,DiepBNH,ManDH,2.5,0.5,,,03/03/2016,02/03/2016,,15:00,17:30,,,2.5,0,,DiepBNH,2.5,,,,,,,1
1,v1603-0072,3/2/2016,Asano,lucent-shika.com/,mail:done,NhaNTT,ManDH,4,1,,,03/03/2016,03/03/2016,,8:30,13:30,,1:00,4,0,,NhaNTT,4,,,,,,,1
1,v1603-0073,3/2/2016,Asano,bridge-us.jp/,mail:done,TrucTTT,ManDH,3,0.5,,,03/03/2016,03/03/2016,,14:00,17:00,,,3,0,,TrucTTT,3,,,,,,,1
1,v1603-0074,3/2/2016,Ariyoshi,chikugo-ss.jp/test160302/,mail:done,KhangPH,NguyenLDH,4,1,,,03/03/2016,03/03/2016,,8:30,12:30,,,4,0,http://service.fvn-office.net/fvn/khangph/,KhangPH,4,,,,,,,1
1,v1603-0075,3/2/2016,Ishihara,murai-dc.com/,mail:done,BichVTN,NguyenLDH,0.5,0.5,,,03/03/2016,03/03/2016,,13:00,13:30,,,0.5,0,,BichVTN,0.5,,,,,,,1
