Date,??NO,Project Name,Type,Page number,Std. DUR,Real DUR,Work content,Page name,"Team/
Designer",Status,Start work,End work,Break,Note,,,,,,,,,,,,
09/03/2016,100101067301-01W,SOTEX?,New,4,8,4.5,"sub page 2, 3, 5, 15",,VuLDN,done,08:30,14:00,01:00,,,,,,,,,,,,,
10/03/2016,100101067301-01W,SOTEX?,New,2,4,2,"sub page 9, 10",html Overnote,VuLDN,done,08:30,10:30,,,,,,,,,,,,,,
09/03/2016,100101067301-01W,SOTEX?,New,,4,1.5,"sub page 4, 13",,HuyTV,done,08:30,10:00,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,
,100101067801-01W,,Plan,15,44,40.75,"overnote, fmail, kijikaku",,2.team Manh,,,,,,,,,,,,,,,,,
09/03/2016,100101067801-01W,???? ?????,New,,8,8,index + js,,ManhT,done,08:30,17:30,01:00,,,,,,,,,,,,,
09/03/2016,100101067801-01W,???? ?????,New,,1,1,under,,HuyTV,done,08:30,09:30,,,,,,,,,,,,,,
09/03/2016,100101067801-01W,???? ?????,Option,,3,2.75,Join page,,DiepBNH,done,17:30,20:15,,,,,,,,,,,,,,
08/03/2016,100101067801-01W,???? ?????,Option,,3,3,overnotes,,HuyTV,done,08:30,11:30,,,,,,,,,,,,,,
10/03/2016,100101067801-01W,???? ?????,Option,,1,3.5,Check,,DiepBNH,done,08:30,12:00,,,,,,,,,,,,,,
10/03/2016,100101067801-01W,???? ?????,Option,,3,4.5,Fix sub pages,,DiepBNH,done,13:00,17:30,,,,,,,,,,,,,,
08/03/2016,100101067801-01W,???? ?????,New,,3,2,Banner,,ManhT,done,13:00,15:00,,,,,,,,,,,,,,
09/03/2016,100101067801-01W,???? ?????,New,6,10,8,"sub page 2, 3,4,5,6,7","collabo/interview.html,collabo/index.html,about/index.html,
service/index.html,service/natural-garden.html,service/wooddeck.html",DiepBNH,done,08:30,17:30,01:00,,,,,,,,,,,,,
08/03/2016,100101067801-01W,???? ?????,New,,10,7,"sub page 8,9,10,11,12",,HuyTV,done,11:30,19:30,01:00,,,,,,,,,,,,,
09/03/2016,100101067801-01W,???? ?????,New,,2,1,Fmail,,HuyTV,done,11:00,12:00,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,
,100100898606-01W,,Plan,15,42,41,kijikaku,,2.team Manh,,,,,,,,,,,,,,,,,
16/03/2016,100100898606-01W,?????? ??????,New,,,8,index + js,,HuyTV,done,08:30,17:30,01:00,,,,,,,,,,,,,
17/03/2016,100100898606-01W,?????? ??????,New,,,1,under,,HuyTV,done,08:30,09:30,,,,,,,,,,,,,,
17/03/2016,100100898606-01W,?????? ??????,Option,,,1,Join page,,HuyTV,done,11:00,13:00,01:00,,,,,,,,,,,,,
17/03/2016,100100898606-01W,?????? ??????,Option,,,2,Kijikaku,,HuyTV,done,09:30,11:30,,,,,,,,,,,,,,
,100100898606-01W,?????? ??????,Option,,,0,Check,,,,,,,,,,,,,,,,,,,
17/03/2016,100100898606-01W,?????? ??????,Option,,,1.5,Fix index,,HuyTV,done,13:00,14:30,,,,,,,,,,,,,,
17/03/2016,100100898606-01W,?????? ??????,Option,,,2,Fix sub pages,,HuyTV,done,14:30,16:30,,,,,,,,,,,,,,
11/03/2016,100100898606-01W,?????? ??????,New,,,1,Banner,,TramNTH,done,08:30,09:30,,,,,,,,,,,,,,
11/03/2016,100100898606-01W,?????? ??????,New,5,10,8.5,"sub page 2, 3, 4, 5, 6, 7","concept.html, access.html, flow.html, feature.html, interview.html",TramNTH,done,09:30,19:00,01:00,,,,,,,,,,,,,
12/03/2016,100100898606-01W,?????? ??????,New,4,8,8,"sub page 8, 9, 10, 11","teeth.html, food.html, hate.html, caries.html, ortho.html",TramNTH,done,08:30,17:30,01:00,,,,,,,,,,,,,
14/03/2016,100100898606-01W,?????? ??????,New,4,8,8,"sub page 12, 13, 14, 15","prevent.html, for-chilld.html, maternity.html, qa.html",TramNTH,done,08:30,17:30,01:00,,,,,,,,,,,,,
15/03/2016,100100898606-01W,?????? ??????,Option,,,2,Illustrator image,,HuyTV,done,15:30,17:30,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,
,100101068501-01W,?????,Plan,15,43,46.5,"set kijikaku, tiny",,1.team Dat,,,,,,,,,,,,,,,,,
08/03/2016,100101068501-01W,?????,New,1,6,8,index,,NgocTT,done,08:30,17:30,1:00,,,,,,,,,,,,,
07/03/2016,100101068501-01W,?????,New,-,2,1,code layout sub page,,LamNTP,done,11:30,13:30,1:00,,,,,,,,,,,,,
,100101068501-01W,?????,New,-,2,0,code common parts ,,,,,,,,,,,,,,,,,,,
,100101068501-01W,?????,New,-,2,0,set js (main image),,,,,,,,,,,,,,,,,,,
,100101068501-01W,?????,New,-,1,0,set Tiny,,,,,,,,,,,,,,,,,,,
09/03/2016,100101068501-01W,?????,New,-,4,4,set kijikaku,,ThuyTTN,done,13:00,17:00,,,,,,,,,,,,,,
09/03/2016,100101068501-01W,?????,New,-,-,1.5,Join page,,ThuyTTN,done,17:00,18:30,,,,,,,,,,,,,,
09/03/2016,100101068501-01W,?????,New,-,-,1,Check,,ThuyTTN,done,18:30,19:30,,,,,,,,,,,,,,
10/03/2016,100101068501-01W,?????,New,-,-,1.25,Check,,ThuyTTN,done,08:30,09:45,,,,,,,,,,,,,,
10/03/2016,100101068501-01W,?????,New,-,-,1.25,Fix,,ThuyTTN,done,09:45,11:00,,,,,,,,,,,,,,
07/03/2016,100101068501-01W,?????,New,2,4,4,"sub page 2, 3","clinic/concept.html,clinic/staff.html",LamNTP,done,13:30,17:30,,,,,,,,,,,,,,
08/03/2016,100101068501-01W,?????,New,4,8,8,"sub page 4,5,6,8","clinic/access.html, clinic/first.html,treatment/caries.html,treatment/prevent.html",LamNTP,done,08:30,17:30,1:00,,,,,,,,,,,,,
09/03/2016,100101068501-01W,?????,New,3,6,6,"sub page 9,10,11","treatment/kids.html, treatment/maternity.html,treatment/esthe.html",LamNTP,done,08:30,15:30,1:00,,,,,,,,,,,,,
07/03/2016,100101068501-01W,?????,New,1,2,2.5,sub page,treatment/oral_surgery.html,ThuyTTN,done,15:00,17:30,,design banner all pages,,,,,,,,,,,,
08/03/2016,100101068501-01W,?????,New,4,6,8,sub page,"treatment/perio.html, treatment/implant.html, treatment/denture.html, treatment/ortho.html",ThuyTTN,done,08:30,17:30,1:00,design illust,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,
,100100895413-01W,???????????????????????,Plan,20,51,59.5,set Kijikaku,,1.team Dat,,,,,,,,,,,,,,,,,
08/03/2016,100100895413-01W,???????????????????????,New,1,6,6,index,,ThanhNT,done,10:30,17:30,1:00,,,,,,,,,,,,,
09/03/2016,100100895413-01W,???????????????????????,New,-,-,8,index,,ThanhNT,done,08:30,17:30,1:00,,,,,,,,,,,,,
08/03/2016,100100895413-01W,???????????????????????,New,-,2,2,code layout sub page,,ThanhNT,done,08:30,10:30,,,,,,,,,,,,,,
14/03/2016,100100895413-01W,???????????????????????,New,-,2,2,code common parts ,,ThanhNT,done,08:30,10:30,,,,,,,,,,,,,,
12/03/2016,100100895413-01W,???????????????????????,New,-,3,3.5,set Kijikaku,,ThanhNT,done,08:30,12:00,,,,,,,,,,,,,,
12/03/2016,100100895413-01W,???????????????????????,New,-,-,4.5,Join page,,ThanhNT,done,13:00,17:30,,,,,,,,,,,,,,
3/14/2016,100100895413-01W,???????????????????????,New,-,-,6,Check,,ThanhNT,done,10:30,17:30,01:00,,,,,,,,,,,,,
3/14/2016,100100895413-01W,???????????????????????,New,-,-,3,Fix,,ThanhNT,done,17:30,20:30,,,,,,,,,,,,,,
11/03/2016,100100895413-01W,???????????????????????,New,2,4,2.5,"sub page 5, 11","white.html, ortho.html",LamNTP,done,17:30,20:00,,,,,,,,,,,,,,
12/03/2016,100100895413-01W,???????????????????????,New,4,8,8,"sub page 12,13,14,17","ortho_child.html, about.html, recommend.html, concept.html",LamNTP,done,08:30,17:30,01:00,,,,,,,,,,,,,
3/11/2016,100100895413-01W,???????????????????????,New,2,4,6,"sub page 7, 3","prevent.html, perio.html",ThuyTTN,done,10:30,17:30,01:00,"design banner all page, 2 frame, h6, pickup",,,,,,,,,,,,
3/12/2016,100100895413-01W,???????????????????????,New,4,6,8,"sub page 10, 15, 18, 20","occlusion.html, reason.html, staff.html,contact/index.cgi",ThuyTTN,done,08:30,17:30,01:00,design check,,,,,,,,,,,,
3/10/2016,100100895413-01W,???????????????????????,New,6,12,11.5,"sub page 19, 16, 9, 8, 6","clinic.html, price.html, denture.html, implant.html, child.html, esthe.html",ThanhNT,done,08:30,21:00,1:00,,,,,,,,,,,,,
3/11/2016,100100895413-01W,???????????????????????,New,2,4,8,"sub page 2, 4","general.html, esthe.html",ThanhNT,done,08:30,17:30,1:00,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,
